pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory,Label,Category
51136254,1528097752.521944,e s,tcp,192.168.100.148,15062.0,192.168.100.7,80.0,3,462,REQ,1528097757.465962,139614,4.944018,4.944018,0.0,,,4.944018,4.944018,4.944018,,,,,3,0,462,0,0.404529,0.404529,0.0,1,DDoS,TCP,DDoS_TCP,2
51146254,1528097752.600741,e s,tcp,192.168.100.148,19707.0,192.168.100.7,80.0,3,462,REQ,1528097757.548587,149614,4.947846,4.947846,0.0,,,4.947846,4.947846,4.947846,,,,,3,0,462,0,0.404216,0.404216,0.0,1,DDoS,TCP,DDoS_TCP,2
51156254,1528097752.69393,e s,tcp,192.168.100.148,23769.0,192.168.100.7,80.0,3,462,REQ,1528097757.640592,159614,4.946662,4.946662,0.0,,,4.946662,4.946662,4.946662,,,,,3,0,462,0,0.404313,0.404313,0.0,1,DDoS,TCP,DDoS_TCP,2
51166254,1528097752.796377,e s,tcp,192.168.100.149,26161.0,192.168.100.7,80.0,2,308,REQ,1528097757.777138,169614,4.980761,4.980761,0.0,,,4.980761,4.980761,4.980761,,,,,2,0,308,0,0.200773,0.200773,0.0,1,DDoS,TCP,DDoS_TCP,2
51176254,1528097752.914936,e s,tcp,192.168.100.147,32524.0,192.168.100.7,80.0,3,462,REQ,1528097757.112368,179614,4.197432,4.197432,0.0,,,4.197432,4.197432,4.197432,,,,,3,0,462,0,0.476482,0.476482,0.0,1,DDoS,TCP,DDoS_TCP,2
51186254,1528097753.03799,e s,tcp,192.168.100.150,31999.0,192.168.100.7,80.0,2,308,REQ,1528097756.127243,189614,3.089253,3.089253,0.0,,,3.089253,3.089253,3.089253,,,,,2,0,308,0,0.323703,0.323703,0.0,1,DDoS,TCP,DDoS_TCP,2
51196254,1528097753.193001,e s,tcp,192.168.100.150,33828.0,192.168.100.7,80.0,2,308,REQ,1528097756.281096,199614,3.088095,3.088095,0.0,,,3.088095,3.088095,3.088095,,,,,2,0,308,0,0.323824,0.323824,0.0,1,DDoS,TCP,DDoS_TCP,2
51206254,1528097753.45016,e s,tcp,192.168.100.150,37051.0,192.168.100.7,80.0,2,308,REQ,1528097756.539293,209614,3.089133,3.089133,0.0,,,3.089133,3.089133,3.089133,,,,,2,0,308,0,0.323715,0.323715,0.0,1,DDoS,TCP,DDoS_TCP,2
51216254,1528097753.896954,e s,tcp,192.168.100.149,39244.0,192.168.100.7,80.0,2,308,REQ,1528097758.903226,219614,5.006272,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.199749,0.199749,0.0,1,DDoS,TCP,DDoS_TCP,2
51225347,1528097754.725779,e,tcp,192.168.100.149,48043.0,192.168.100.7,80.0,1,154,REQ,1528097754.725779,228707,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,154,0,0.0,0.0,0.0,1,DDoS,TCP,DDoS_TCP,2
51222854,1528097754.48093,e,tcp,192.168.100.3,41307.0,52.64.239.193,8883.0,10,3658,CON,1528097760.346571,226214,5.865641,2.929842,2.069435,,,5.859684,0.860407,4.999277,,,,,5,5,3328,330,1.534359,0.799163,0.681937,0,Normal,Normal,Normal_Normal,0
51236254,1528097755.723035,e,tcp,192.168.100.149,58976.0,192.168.100.7,80.0,1,154,REQ,1528097755.723035,239614,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,154,0,0.0,0.0,0.0,1,DDoS,TCP,DDoS_TCP,2
51246254,1528097757.736046,e,tcp,192.168.100.150,49908.0,192.168.100.7,80.0,1,154,REQ,1528097757.736046,249614,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,154,0,0.0,0.0,0.0,1,DDoS,TCP,DDoS_TCP,2
51253127,1528097758.449891,e,tcp,192.168.100.150,56814.0,192.168.100.7,80.0,1,154,REQ,1528097758.449891,256487,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,154,0,0.0,0.0,0.0,1,DDoS,TCP,DDoS_TCP,2
51259217,1528097771.780376,e,udp,192.168.100.46,3456.0,192.168.100.5,80.0,2274,2211815,CON,1528097785.986038,419,14.205662,4.726967,0.372705,,,14.180901,4.199879,4.99054,,,,,1137,1137,1079895,1131920,160.006622,79.968117,79.968117,0,Normal,Normal,Normal_Normal,0
51265347,1528097771.91342,e s,tcp,192.168.100.148,62316.0,192.168.100.7,80.0,2,308,REQ,1528097777.219631,6549,5.306211,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.188458,0.188458,0.0,1,DDoS,TCP,DDoS_TCP,2
51260568,1528097771.807072,e,tcp,192.168.100.6,80.0,192.168.100.3,80.0,383,113368,CON,1528097785.961436,1770,14.154364,4.69325,0.383896,,,14.07975,4.150337,4.965641,,,,,383,0,113368,0,26.988144,26.988144,0.0,0,Normal,Normal,Normal_Normal,0
51276254,1528097772.08897,e s,tcp,192.168.100.149,13549.0,192.168.100.7,80.0,2,308,REQ,1528097775.152694,17456,3.063724,3.063724,0.0,,,3.063724,3.063724,3.063724,,,,,2,0,308,0,0.3264,0.3264,0.0,1,DDoS,TCP,DDoS_TCP,2
51286254,1528097772.273657,e s,tcp,192.168.100.147,44351.0,192.168.100.7,80.0,2,308,REQ,1528097779.196033,27456,6.922376,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.144459,0.144459,0.0,1,DDoS,TCP,DDoS_TCP,2
51296254,1528097772.546229,e s,tcp,192.168.100.149,32669.0,192.168.100.7,80.0,2,308,REQ,1528097776.187942,37456,3.641713,3.641713,0.0,,,3.641713,3.641713,3.641713,,,,,2,0,308,0,0.274596,0.274596,0.0,1,DDoS,TCP,DDoS_TCP,2
51306254,1528097772.829701,e s,tcp,192.168.100.148,1535.0,192.168.100.7,80.0,2,308,REQ,1528097777.773035,47456,4.943334,4.943334,0.0,,,4.943334,4.943334,4.943334,,,,,2,0,308,0,0.202293,0.202293,0.0,1,DDoS,TCP,DDoS_TCP,2
51316254,1528097773.087122,e s,tcp,192.168.100.150,52488.0,192.168.100.7,80.0,3,462,REQ,1528097781.970355,57456,8.883233,1.755526,1.755526,,,3.511052,0.0,3.511052,,,,,3,0,462,0,0.225143,0.225143,0.0,1,DDoS,TCP,DDoS_TCP,2
51326254,1528097773.322553,e s,tcp,192.168.100.149,42883.0,192.168.100.7,80.0,2,308,REQ,1528097776.746012,67456,3.423459,3.423459,0.0,,,3.423459,3.423459,3.423459,,,,,2,0,308,0,0.292102,0.292102,0.0,1,DDoS,TCP,DDoS_TCP,2
51336254,1528097773.564672,e s,tcp,192.168.100.150,58159.0,192.168.100.7,80.0,2,308,REQ,1528097776.970674,77456,3.406002,3.406002,0.0,,,3.406002,3.406002,3.406002,,,,,2,0,308,0,0.293599,0.293599,0.0,1,DDoS,TCP,DDoS_TCP,2
51346254,1528097773.806875,e s,tcp,192.168.100.149,48833.0,192.168.100.7,80.0,2,308,REQ,1528097777.091146,87456,3.284271,3.284271,0.0,,,3.284271,3.284271,3.284271,,,,,2,0,308,0,0.304482,0.304482,0.0,1,DDoS,TCP,DDoS_TCP,2
51356254,1528097773.928829,e s,tcp,192.168.100.150,1646.0,192.168.100.7,80.0,2,308,REQ,1528097778.423025,97456,4.494196,4.494196,0.0,,,4.494196,4.494196,4.494196,,,,,2,0,308,0,0.222509,0.222509,0.0,1,DDoS,TCP,DDoS_TCP,2
51366254,1528097774.081399,e s,tcp,192.168.100.148,15421.0,192.168.100.7,80.0,2,308,REQ,1528097778.975037,107456,4.893638,4.893638,0.0,,,4.893638,4.893638,4.893638,,,,,2,0,308,0,0.204347,0.204347,0.0,1,DDoS,TCP,DDoS_TCP,2
51376254,1528097774.256156,e s,tcp,192.168.100.150,12019.0,192.168.100.7,80.0,3,462,REQ,1528097784.617043,117456,10.360887,2.213249,2.213249,,,4.426498,0.0,4.426498,,,,,3,0,462,0,0.193034,0.193034,0.0,1,DDoS,TCP,DDoS_TCP,2
51386254,1528097774.457653,e s,tcp,192.168.100.147,56462.0,192.168.100.7,80.0,2,308,REQ,1528097780.472996,127456,6.015343,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.166242,0.166242,0.0,1,DDoS,TCP,DDoS_TCP,2
51396254,1528097774.565815,e s,tcp,192.168.100.149,62063.0,192.168.100.7,80.0,2,308,REQ,1528097778.945971,137456,4.380156,4.380156,0.0,,,4.380156,4.380156,4.380156,,,,,2,0,308,0,0.228302,0.228302,0.0,1,DDoS,TCP,DDoS_TCP,2
51406254,1528097774.692735,e s,tcp,192.168.100.150,21517.0,192.168.100.7,80.0,2,308,REQ,1528097780.398741,147456,5.706006,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.175254,0.175254,0.0,1,DDoS,TCP,DDoS_TCP,2
51416254,1528097774.839999,e s,tcp,192.168.100.149,6069.0,192.168.100.7,80.0,2,308,REQ,1528097780.82361,157456,5.983611,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.167123,0.167123,0.0,1,DDoS,TCP,DDoS_TCP,2
51425347,1528097775.083665,e s,tcp,192.168.100.148,26817.0,192.168.100.7,80.0,2,308,REQ,1528097779.973094,166549,4.889429,4.889429,0.0,,,4.889429,4.889429,4.889429,,,,,2,0,308,0,0.204523,0.204523,0.0,1,DDoS,TCP,DDoS_TCP,2
51423739,1528097775.032167,e,tcp,192.168.100.3,41307.0,52.64.239.193,8883.0,12,3799,CON,1528097780.357712,164941,5.325545,0.322075,0.000343,,,0.64415,0.321732,0.322418,,,,,6,6,3403,396,2.065516,0.938871,0.938871,0,Normal,Normal,Normal_Normal,0
51436254,1528097775.322038,e s,tcp,192.168.100.148,29321.0,192.168.100.7,80.0,2,308,REQ,1528097780.205436,177456,4.883398,4.883398,0.0,,,4.883398,4.883398,4.883398,,,,,2,0,308,0,0.204775,0.204775,0.0,1,DDoS,TCP,DDoS_TCP,2
51446254,1528097775.521652,e s,tcp,192.168.100.148,31534.0,192.168.100.7,80.0,2,308,REQ,1528097780.416842,187456,4.89519,4.89519,0.0,,,4.89519,4.89519,4.89519,,,,,2,0,308,0,0.204282,0.204282,0.0,1,DDoS,TCP,DDoS_TCP,2
51456254,1528097775.832953,e,tcp,192.168.100.149,26204.0,192.168.100.7,80.0,1,154,REQ,1528097775.832953,197456,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,154,0,0.0,0.0,0.0,1,DDoS,TCP,DDoS_TCP,2
51466254,1528097776.144624,e s,tcp,192.168.100.148,39214.0,192.168.100.7,80.0,2,308,REQ,1528097781.27218,207456,5.127556,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.195025,0.195025,0.0,1,DDoS,TCP,DDoS_TCP,2
51476254,1528097776.287518,e,tcp,192.168.100.148,47120.0,192.168.100.7,80.0,1,154,REQ,1528097776.287518,217456,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,154,0,0.0,0.0,0.0,1,DDoS,TCP,DDoS_TCP,2
51486254,1528097776.482209,e,tcp,192.168.100.148,54447.0,192.168.100.7,80.0,1,154,REQ,1528097776.482209,227456,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,154,0,0.0,0.0,0.0,1,DDoS,TCP,DDoS_TCP,2
51496254,1528097776.863561,e,tcp,192.168.100.148,58710.0,192.168.100.7,80.0,1,154,REQ,1528097776.863561,237456,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,154,0,0.0,0.0,0.0,1,DDoS,TCP,DDoS_TCP,2
51506254,1528097777.436129,e,tcp,192.168.100.147,21349.0,192.168.100.7,80.0,1,154,REQ,1528097777.436129,247456,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,154,0,0.0,0.0,0.0,1,DDoS,TCP,DDoS_TCP,2
51516254,1528097778.420564,e,tcp,192.168.100.147,31306.0,192.168.100.7,80.0,1,154,REQ,1528097778.420564,257456,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,154,0,0.0,0.0,0.0,1,DDoS,TCP,DDoS_TCP,2
51524034,1528097799.242703,e s,tcp,192.168.100.150,2749.0,192.168.100.7,80.0,3,462,REQ,1528097811.370558,3076,12.127855,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.16491,0.16491,0.0,1,DDoS,TCP,DDoS_TCP,2
51521287,1528097799.199662,e,udp,192.168.100.46,3456.0,192.168.100.5,80.0,2716,2641706,CON,1528097816.172591,329,16.972929,4.234047,1.316353,,,16.936188,1.954063,4.999576,,,,,1358,1358,1290216,1351490,159.960602,79.950844,79.950844,0,Normal,Normal,Normal_Normal,0
51536254,1528097799.441236,e s,tcp,192.168.100.150,3956.0,192.168.100.7,80.0,3,462,REQ,1528097811.492186,15296,12.05095,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.165962,0.165962,0.0,1,DDoS,TCP,DDoS_TCP,2
51546254,1528097799.540955,e s,tcp,192.168.100.147,8334.0,192.168.100.7,80.0,7,1078,REQ,1528097815.735712,25296,16.194757,2.12744,1.236785,,,8.509762,0.0,3.072599,,,,,7,0,1078,0,0.37049,0.37049,0.0,1,DDoS,TCP,DDoS_TCP,2
51556254,1528097799.66468,e s,tcp,192.168.100.149,25930.0,192.168.100.7,80.0,4,616,REQ,1528097812.198094,35296,12.533414,4.583941,0.087583,,,9.167882,4.496358,4.671524,,,,,4,0,616,0,0.23936,0.23936,0.0,1,DDoS,TCP,DDoS_TCP,2
51566254,1528097799.818539,e s,tcp,192.168.100.149,27886.0,192.168.100.7,80.0,4,616,REQ,1528097812.330097,45296,12.511558,4.57323,0.074677,,,9.14646,4.498538,4.647921,,,,,4,0,616,0,0.239778,0.239778,0.0,1,DDoS,TCP,DDoS_TCP,2
51576254,1528097799.990868,e s,tcp,192.168.100.148,42164.0,192.168.100.7,80.0,7,1078,REQ,1528097814.602564,55296,14.611696,3.271823,1.106751,,,9.815468,2.373598,4.830999,,,,,7,0,1078,0,0.41063,0.41063,0.0,1,DDoS,TCP,DDoS_TCP,2
51585347,1528097800.15535,e s,tcp,192.168.100.149,31975.0,192.168.100.7,80.0,4,616,REQ,1528097812.618322,64389,12.462972,4.549883,0.050798,,,9.099767,4.499085,4.600682,,,,,4,0,616,0,0.240713,0.240713,0.0,1,DDoS,TCP,DDoS_TCP,2
51580242,1528097800.064037,e,tcp,192.168.100.3,41307.0,52.64.239.193,8883.0,14,6647,CON,1528097815.361152,59284,15.297115,1.595475,1.450259,,,6.381899,0.006178,3.045992,,,,,7,7,6185,462,0.849833,0.392389,0.392231,0,Normal,Normal,Normal_Normal,0
51596254,1528097800.374138,e s,tcp,192.168.100.149,34412.0,192.168.100.7,80.0,4,616,REQ,1528097812.807942,75296,12.433804,4.533781,0.033916,,,9.067562,4.499865,4.567697,,,,,4,0,616,0,0.241278,0.241278,0.0,1,DDoS,TCP,DDoS_TCP,2
51606254,1528097800.584116,e s,tcp,192.168.100.149,36759.0,192.168.100.7,80.0,4,616,REQ,1528097812.983569,85296,12.399453,4.517205,0.019987,,,9.03441,4.497164,4.537246,,,,,4,0,616,0,0.241946,0.241946,0.0,1,DDoS,TCP,DDoS_TCP,2
51616254,1528097800.839711,e s,tcp,192.168.100.149,39493.0,192.168.100.7,80.0,4,616,REQ,1528097813.214258,95296,12.374547,4.511188,0.002641,,,9.022376,4.508547,4.513829,,,,,4,0,616,0,0.242433,0.242433,0.0,1,DDoS,TCP,DDoS_TCP,2
51626254,1528097801.053542,e s,tcp,192.168.100.148,55112.0,192.168.100.7,80.0,7,1078,REQ,1528097815.491837,105296,14.438295,3.211792,2.271137,,,9.635375,0.0,4.837383,,,,,7,0,1078,0,0.415562,0.415562,0.0,1,DDoS,TCP,DDoS_TCP,2
51636254,1528097801.218842,e s,tcp,192.168.100.148,58920.0,192.168.100.7,80.0,7,1078,REQ,1528097815.643247,115296,14.424405,3.208497,2.268791,,,9.625491,0.0,4.829367,,,,,7,0,1078,0,0.415962,0.415962,0.0,1,DDoS,TCP,DDoS_TCP,2
51646254,1528097801.378323,e s,tcp,192.168.100.147,46153.0,192.168.100.7,80.0,6,924,REQ,1528097814.514585,125296,13.136262,2.566948,2.039042,,,7.700845,0.0,4.988236,,,,,6,0,924,0,0.380626,0.380626,0.0,1,DDoS,TCP,DDoS_TCP,2
51656254,1528097801.536483,e s,tcp,192.168.100.148,65311.0,192.168.100.7,80.0,7,1078,REQ,1528097815.930408,135296,14.393925,3.193815,2.258389,,,9.581446,0.0,4.802364,,,,,7,0,1078,0,0.416843,0.416843,0.0,1,DDoS,TCP,DDoS_TCP,2
51666254,1528097801.678525,e s,tcp,192.168.100.148,3849.0,192.168.100.7,80.0,7,1078,REQ,1528097816.060419,145296,14.381894,3.193957,2.25848,,,9.58187,0.0,4.799688,,,,,7,0,1078,0,0.417191,0.417191,0.0,1,DDoS,TCP,DDoS_TCP,2
51676254,1528097801.740937,e s,tcp,192.168.100.148,10987.0,192.168.100.7,80.0,7,1078,REQ,1528097816.120682,155296,14.379745,3.194401,2.258794,,,9.583201,0.0,4.800483,,,,,7,0,1078,0,0.417254,0.417254,0.0,1,DDoS,TCP,DDoS_TCP,2
51686254,1528097801.81475,e s,tcp,192.168.100.149,50223.0,192.168.100.7,80.0,4,616,REQ,1528097814.143801,165296,12.329051,4.497347,0.002901,,,8.994694,4.494097,4.500596,,,,,4,0,616,0,0.243328,0.243328,0.0,1,DDoS,TCP,DDoS_TCP,2
51696254,1528097801.907859,e s,tcp,192.168.100.148,22831.0,192.168.100.7,80.0,6,924,REQ,1528097813.896651,175296,11.988792,4.784689,0.01264,,,9.569379,4.772049,4.79733,,,,,6,0,924,0,0.417056,0.417056,0.0,1,DDoS,TCP,DDoS_TCP,2
51706254,1528097802.06686,e s,tcp,192.168.100.150,28518.0,192.168.100.7,80.0,3,462,REQ,1528097813.494814,185296,11.427954,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.175009,0.175009,0.0,1,DDoS,TCP,DDoS_TCP,2
51716254,1528097802.30091,e s,tcp,192.168.100.150,31752.0,192.168.100.7,80.0,3,462,REQ,1528097813.733462,195296,11.432552,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.174939,0.174939,0.0,1,DDoS,TCP,DDoS_TCP,2
51726254,1528097802.607249,e s,tcp,192.168.100.150,35751.0,192.168.100.7,80.0,3,462,REQ,1528097814.035783,205296,11.428534,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.175001,0.175001,0.0,1,DDoS,TCP,DDoS_TCP,2
51736254,1528097802.905531,e s,tcp,192.168.100.149,1585.0,192.168.100.7,80.0,3,462,REQ,1528097815.238253,215296,12.332722,2.243138,2.243138,,,4.486276,0.0,4.486276,,,,,3,0,462,0,0.16217,0.16217,0.0,1,DDoS,TCP,DDoS_TCP,2
51746254,1528097803.215512,e s,tcp,192.168.100.150,43300.0,192.168.100.7,80.0,3,462,REQ,1528097814.653003,225296,11.437491,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.174864,0.174864,0.0,1,DDoS,TCP,DDoS_TCP,2
51756254,1528097803.570095,e s,tcp,192.168.100.150,47364.0,192.168.100.7,80.0,3,462,REQ,1528097815.009066,235296,11.438971,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.174841,0.174841,0.0,1,DDoS,TCP,DDoS_TCP,2
51766254,1528097803.935651,e s,tcp,192.168.100.150,51369.0,192.168.100.7,80.0,3,462,REQ,1528097815.377684,245296,11.442033,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.174794,0.174794,0.0,1,DDoS,TCP,DDoS_TCP,2
51776254,1528097804.876819,e s,tcp,192.168.100.150,61168.0,192.168.100.7,80.0,2,308,REQ,1528097810.639386,255296,5.762567,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.173534,0.173534,0.0,1,DDoS,TCP,DDoS_TCP,2
51783125,1528097816.177906,e s,tcp,192.168.100.148,16273.0,192.168.100.7,80.0,4,616,REQ,1528097825.60291,9,9.425004,2.375946,2.375946,,,4.751892,0.0,4.751892,,,,,4,0,616,0,0.318302,0.318302,0.0,1,DDoS,TCP,DDoS_TCP,2
51784274,1528097816.183209,e,udp,192.168.100.46,3456.0,192.168.100.5,80.0,3537,3442050,CON,1528097838.661267,1158,22.478058,4.411811,0.9911,,,22.059055,2.447998,4.990706,,,,,1769,1768,1683177,1758873,157.30896,78.65448,78.609993,0,Normal,Normal,Normal_Normal,0
51796254,1528097816.28588,e s,tcp,192.168.100.148,22997.0,192.168.100.7,80.0,5,770,REQ,1528097836.454664,13138,20.168783,1.583922,2.240003,,,4.751765,0.0,4.751765,,,,,5,0,770,0,0.198326,0.198326,0.0,1,DDoS,TCP,DDoS_TCP,2
51806254,1528097816.387902,e s,tcp,192.168.100.147,32955.0,192.168.100.7,80.0,5,770,REQ,1528097832.876567,23138,16.488665,1.915234,1.361658,,,5.745703,0.0,3.046278,,,,,5,0,770,0,0.242591,0.242591,0.0,1,DDoS,TCP,DDoS_TCP,2
51816254,1528097816.498646,e s,tcp,192.168.100.147,35867.0,192.168.100.7,80.0,5,770,REQ,1528097833.424354,33138,16.925709,1.917924,1.363387,,,5.753773,0.0,3.048378,,,,,5,0,770,0,0.236327,0.236327,0.0,1,DDoS,TCP,DDoS_TCP,2
51826254,1528097816.636456,e s,tcp,192.168.100.149,25473.0,192.168.100.7,80.0,6,924,REQ,1528097837.4064,43138,20.769943,4.112532,0.704177,,,12.337597,3.124473,4.714286,,,,,6,0,924,0,0.240732,0.240732,0.0,1,DDoS,TCP,DDoS_TCP,2
51836254,1528097816.811583,e s,tcp,192.168.100.147,40539.0,192.168.100.7,80.0,5,770,REQ,1528097833.804007,53138,16.992424,1.933975,1.375618,,,5.801926,0.0,3.083421,,,,,5,0,770,0,0.235399,0.235399,0.0,1,DDoS,TCP,DDoS_TCP,2
51846254,1528097817.009361,e s,tcp,192.168.100.147,43067.0,192.168.100.7,80.0,5,770,REQ,1528097833.912263,63138,16.902903,1.939149,1.379877,,,5.817447,0.0,3.098104,,,,,5,0,770,0,0.236646,0.236646,0.0,1,DDoS,TCP,DDoS_TCP,2
51856254,1528097817.196979,e s,tcp,192.168.100.148,45399.0,192.168.100.7,80.0,6,924,REQ,1528097837.93788,73138,20.740902,2.260221,1.937508,,,6.780663,0.0,4.731769,,,,,6,0,924,0,0.24107,0.24107,0.0,1,DDoS,TCP,DDoS_TCP,2
51866254,1528097817.37006,e s,tcp,192.168.100.147,49597.0,192.168.100.7,80.0,5,770,REQ,1528097834.973589,83138,17.603529,1.945094,1.386052,,,5.83528,0.0,3.127803,,,,,5,0,770,0,0.227227,0.227227,0.0,1,DDoS,TCP,DDoS_TCP,2
51876254,1528097817.552119,e s,tcp,192.168.100.150,7243.0,192.168.100.7,80.0,5,770,REQ,1528097837.966293,93138,20.414173,0.816688,1.414545,,,3.266752,0.0,3.266752,,,,,5,0,770,0,0.195942,0.195942,0.0,1,DDoS,TCP,DDoS_TCP,2
51886254,1528097817.73794,e s,tcp,192.168.100.147,56766.0,192.168.100.7,80.0,4,616,REQ,1528097826.257932,103138,8.519992,2.929227,0.237885,,,5.858454,2.691342,3.167112,,,,,4,0,616,0,0.352113,0.352113,0.0,1,DDoS,TCP,DDoS_TCP,2
51896254,1528097817.910471,e s,tcp,192.168.100.149,42149.0,192.168.100.7,80.0,6,924,REQ,1528097838.172185,113138,20.261715,3.920213,0.764672,,,11.760638,2.839555,4.495411,,,,,6,0,924,0,0.246771,0.246771,0.0,1,DDoS,TCP,DDoS_TCP,2
