srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,Category_dtloader,Binary_dtloader
175.45.176.0,31359,149.171.126.15,179,tcp,FIN,0.630686,546,354,254,252,2,1,-,6240.82373,3932.226318,10,8,255,255,1848978103,3728205917,55,44,0,0,4725.860384,124.028383,1424250427,1424250428,66.838556,79.26143,0.120197,0.075847,0.04435,0,1,Normal,Normal, ,9,8,1,2,1,1,8,Fuzzers,1,1,1
175.45.176.0,62039,149.171.126.12,179,tcp,FIN,0.655888,566,354,254,252,2,1,-,6220.574219,3781.133301,10,8,255,255,2584302556,2846876806,57,44,0,0,4572.827532,125.522203,1424250479,1424250479,68.171111,80.86057,0.139674,0.089859,0.049815,0,1,Normal,Normal, ,6,6,1,2,1,1,6,Fuzzers,1,1,1
175.45.176.3,49542,149.171.126.18,111,udp,INT,5e-06,168,0,254,0,0,0,-,134400000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424250687,1424250687,0.005,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,2,Reconnaissance,1,2,1
175.45.176.0,52544,149.171.126.14,111,tcp,FIN,0.789955,564,354,254,252,2,1,-,5144.59668,3139.419189,10,8,255,255,1201089252,3765083246,56,44,0,0,5823.485235,158.132484,1424250461,1424250462,87.772778,101.760141,0.123686,0.067478,0.056208,0,1,Normal,Normal, ,10,1,1,3,1,1,1,Reconnaissance,1,2,1
175.45.176.1,35499,149.171.126.12,111,udp,INT,4e-06,168,0,254,0,0,0,-,168000000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424250433,1424250433,0.004,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,2,1,1,1,Reconnaissance,1,2,1
175.45.176.2,8467,149.171.126.14,111,tcp,FIN,0.675843,564,354,254,252,2,1,-,6013.230957,3669.491211,10,8,255,255,1170619771,592642194,56,44,0,0,5538.214747,137.182687,1424250721,1424250722,73.589333,93.325141,0.073581,0.022559,0.051022,0,1,Normal,Normal, ,1,1,1,1,1,1,2,Reconnaissance,1,2,1
175.45.176.2,62788,149.171.126.17,111,tcp,FIN,0.653131,564,354,254,252,2,1,-,6222.334961,3797.094238,10,8,255,255,327943968,3720839150,56,44,0,0,5542.69747,140.978672,1424250640,1424250641,72.570111,90.59443,0.054168,0.005933,0.048235,0,1,Normal,Normal, ,1,1,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.0,43143,149.171.126.19,111,tcp,FIN,0.625806,564,354,254,252,2,1,-,6494.025391,3962.889648,10,8,255,255,670592069,2539398095,56,44,0,0,5440.431705,138.726188,1424250652,1424250653,69.090556,88.449289,0.052967,0.006653,0.046314,0,1,Normal,Normal, ,1,1,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.2,15787,149.171.126.11,111,tcp,FIN,0.634251,564,354,254,252,2,1,-,6407.558105,3910.124023,10,8,255,255,3920391266,2236088126,56,44,0,0,5471.44093,139.030625,1424250523,1424250524,69.824333,89.29657,0.055409,0.009166,0.046243,0,1,Normal,Normal, ,1,1,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.1,23021,149.171.126.10,111,udp,INT,3e-06,168,0,254,0,0,0,-,224000000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424250572,1424250572,0.003,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,2,Reconnaissance,1,2,1
175.45.176.0,60141,149.171.126.19,80,tcp,FIN,0.732099,51571,526,254,252,20,1,http,551291.5625,5277.974609,46,12,255,255,964952337,3719592523,1121,44,1,0,1566.969161,78.073734,1424250579,1424250580,16.268867,64.36891,0.090183,0.023243,0.06694,0,1,1.0,Normal, ,1,1,1,1,1,1,1,DoS,1,5,1
175.45.176.2,5060,149.171.126.15,5060,udp,CON,0.135153,1930,2190,254,60,0,0,-,85710.27344,97252.75,4,4,0,0,0,0,483,548,0,0,63.701836,18.965783,1424250704,1424250704,45.051,13.420333,0.0,0.0,0.0,0,0,Normal,Normal, ,1,1,1,1,1,1,1,DoS,1,5,1
175.45.176.2,49494,149.171.126.12,5060,udp,INT,9e-06,1320,0,254,0,0,0,-,586666624.0,0.0,2,0,0,0,0,0,660,0,0,0,0.0,0.0,1424250529,1424250529,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Generic,1,7,1
175.45.176.0,32601,149.171.126.11,55817,tcp,FIN,0.182143,642,268,254,252,2,1,-,25386.64648,9838.423828,10,6,255,255,1018909092,2993183254,64,45,0,0,979.937633,58.024535,1424250683,1424250683,18.413667,34.659199,0.052612,0.008838,0.043774,0,1,Normal,Normal, ,2,1,1,2,1,1,1,Shellcode,1,8,1
175.45.176.1,45948,149.171.126.18,52338,udp,INT,3e-06,464,0,254,0,0,0,-,618666624.0,0.0,2,0,0,0,0,0,232,0,0,0,0.0,0.0,1424250766,1424250766,0.003,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,2,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.1,49258,149.171.126.10,25069,udp,INT,2e-06,322,0,254,0,0,0,-,644000000.0,0.0,2,0,0,0,0,0,161,0,0,0,0.0,0.0,1424250480,1424250480,0.002,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,2,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.3,38133,149.171.126.10,49298,tcp,FIN,0.216711,1332,268,254,252,2,1,-,44261.71094,8269.077148,10,6,255,255,4190179076,2540368826,133,45,0,0,1138.253426,63.132312,1424250818,1424250818,21.820889,39.899602,0.066486,0.017208,0.049278,0,1,Normal,Normal, ,1,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.0,18190,149.171.126.17,54203,udp,INT,8e-06,208,0,254,0,0,0,-,104000000.0,0.0,2,0,0,0,0,0,104,0,0,0,0.0,0.0,1424250521,1424250521,0.008,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,2,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.2,52741,149.171.126.17,24245,udp,INT,1e-05,250,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,125,0,0,0,0.0,0.0,1424250564,1424250564,0.01,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.1,26658,149.171.126.10,49301,tcp,FIN,0.225631,518,268,254,252,2,1,-,16558.00781,7942.170898,10,6,255,255,898275397,1782300442,52,45,0,0,1172.6262,65.556977,1424250502,1424250502,22.623556,42.058801,0.064513,0.015329,0.049184,0,1,Normal,Normal, ,2,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.3,65289,149.171.126.19,25910,udp,INT,4e-06,298,0,254,0,0,0,-,298000000.0,0.0,2,0,0,0,0,0,149,0,0,0,0.0,0.0,1424250495,1424250495,0.004,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.0,28500,149.171.126.12,22724,udp,INT,1e-05,630,0,254,0,0,0,-,252000000.0,0.0,2,0,0,0,0,0,315,0,0,0,0.0,0.0,1424250819,1424250819,0.01,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,2,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.3,1239,149.171.126.10,53111,tcp,FIN,0.198581,628,268,254,252,2,1,-,22801.7793,9024.025391,10,6,255,255,2557257547,1540540864,63,45,0,0,1047.910047,60.794012,1424250518,1424250518,19.896,37.748199,0.058521,0.009817,0.048704,0,1,Normal,Normal, ,1,3,2,1,1,1,1,Shellcode,1,8,1
175.45.176.1,45256,149.171.126.18,7500,tcp,FIN,0.532164,1432,1552,62,252,4,4,http,19993.83789,21391.90234,14,12,255,255,1843563849,1266260243,102,129,1,7,1986.923294,59.25252,1424250456,1424250456,40.935691,47.262453,0.060202,0.011385,0.048817,0,1,1.0,Normal, ,1,1,1,1,1,1,1,Backdoor,1,4,1
175.45.176.0,57182,149.171.126.19,80,tcp,FIN,0.335749,1124,11530,254,252,2,5,http,24113.25195,255119.1563,10,14,255,255,589613146,1874561262,112,824,1,49,1909.211322,1637.225499,1424250753,1424250754,37.305444,20.981847,0.107055,0.046525,0.06053,0,1,4.0,Normal, ,2,2,2,3,2,2,2,Backdoor,1,4,1
